id,equipment_name,model,spec_name,spec_value
267,Single drum rollers  & soil compactors  XS163J,XS163J,"Axle load, rear(kg)",8000
268,Single drum rollers  & soil compactors  XS143J,XS143J,Operating weight(kg),14000
269,Single drum rollers  & soil compactors  XS143J,XS143J,"Axle load, front(kg)",7300
270,Single drum rollers  & soil compactors  XS143J,XS143J,"Axle load, rear(kg)",6700
271,Tandem Roller XD143S,XD143S,Operating weight(kg),14000
272,Tandem Roller XD143S,XD143S,"Axle load, front(kg)",7000
273,Tandem Roller XD143S,XD143S,"Axle load, rear(kg)",7000
274,Tandem Roller XD143,XD143,Operating weight(kg),14000
275,Tandem Roller XD143,XD143,"Axle load, front(kg)",7000
276,Tandem Roller XD143,XD143,"Axle load, rear(kg)",7000
277,Tandem Roller XD133S,XD133S,Operating weight(kg),13200
278,Tandem Roller XD133S,XD133S,"Axle load, front(kg)",6600
279,Tandem Roller XD133S,XD133S,"Axle load, rear(kg)",6600
280,Tandem Roller XD133,XD133,Operating weight(kg),13000
281,Tandem Roller XD133,XD133,"Axle load, front(kg)",6500
282,Tandem Roller XD133,XD133,"Axle load, rear(kg)",6500
283,Tandem Roller XD123S,XD123S,Operating weight(kg),12300
284,Tandem Roller XD123S,XD123S,"Axle load, front(kg)",6150
285,Tandem Roller XD123S,XD123S,"Axle load, rear(kg)",6150
286,Tandem Roller XD123,XD123,Operating weight(kg),12300
287,Tandem Roller XD123,XD123,"Axle load, front(kg)",6150
288,Tandem Roller XD123,XD123,"Axle load, rear(kg)",6150
289,Tandem Roller XD103,XD103,Operating weight(kg),10000
290,Tandem Roller XD103,XD103,"Axle load, front(kg)",5000
291,Tandem Roller XD103,XD103,"Axle load, rear(kg)",5000
292,Tandem Roller XD83,XD83,Operating weight(kg),8500
293,Tandem Roller XD83,XD83,"Axle load, front(kg)",4250
294,Tandem Roller XD83,XD83,"Axle load, rear(kg)",4250
295,Pneumatic  Roller XP103,XP103,Maximum operating weight(kg),10000
296,Pneumatic  Roller XP103,XP103,Water tank capacity(L),650 L
297,Pneumatic  Roller XP103,XP103,Counterweight total(kg),650
298,Pneumatic  Roller XP163S,XP163S,Maximum operating weight(kg),16000
299,Pneumatic  Roller XP163S,XP163S,Water tank capacity(L),650 L
300,Pneumatic  Roller XP163S,XP163S,Counterweight total(kg),3600
301,Pneumatic  Roller XP203,XP203,Maximum operating weight(kg),20000
302,Pneumatic  Roller XP203,XP203,Water tank capacity(L),650 L
303,Pneumatic  Roller XP203,XP203,Counterweight total(kg),7600
304,Pneumatic  Roller XP203S,XP203S,Maximum operating weight(kg),20000
305,Pneumatic  Roller XP203S,XP203S,Water tank capacity(L),650 L
306,Pneumatic  Roller XP203S,XP203S,Counterweight total(kg),7600
307,Pneumatic  Roller XP305S,XP305S,Maximum operating weight(kg),30300
308,Pneumatic  Roller XP305S,XP305S,Water tank capacity(L),570L
309,Pneumatic  Roller XP305S,XP305S,Counterweight total(kg),7815
